shot,shot_position,Cycle time,Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,tempSetValue,tempActualValue,tempMainLine,tempReturnLine,Product_Goodness,cavity
245,2,20.188,799.19983,0.418,28.21061,2015.62927,1654.15857,0.326,22.63984,3.058,199.60001,210.0,220.10001,230.0,239.8,41.0,0.67,70.0,70.0,70.0,70.1,1,P2
65,1,20.19,800.12207,0.356,28.20552,2035.05798,1645.8042,0.326,22.65514,3.06,199.8,210.0,220.0,230.0,239.8,45.5,0.668,70.0,70.0,70.0,70.1,0,P1
65,2,20.19,800.12207,0.356,28.20552,2035.05798,1645.8042,0.326,22.65514,3.06,199.8,210.0,220.0,230.0,239.8,45.5,0.668,70.0,70.0,70.0,70.1,0,P2
100,1,20.188,799.75317,0.358,28.25139,2024.17786,1649.00989,0.328,22.66533,3.056,200.0,210.10001,220.10001,230.0,239.8,43.7,0.67,70.0,70.0,70.0,70.1,1,P1
100,2,20.188,799.75317,0.358,28.25139,2024.17786,1649.00989,0.328,22.66533,3.056,200.0,210.10001,220.10001,230.0,239.8,43.7,0.67,70.0,70.0,70.0,70.1,1,P2
224,1,20.188,799.19983,0.42,28.21571,2033.60083,1647.55273,0.326,22.67043,3.038,200.10001,210.0,220.0,230.0,240.0,48.0,0.67,70.0,70.0,70.0,70.1,1,P1
224,2,20.188,799.19983,0.42,28.21571,2033.60083,1647.55273,0.326,22.67043,3.038,200.10001,210.0,220.0,230.0,240.0,48.0,0.67,70.0,70.0,70.0,70.1,1,P2
285,1,20.188,799.19983,1.538,28.21061,2012.03491,1661.54138,0.326,22.65514,3.042,199.8,210.10001,220.10001,230.0,240.0,43.9,0.67,70.0,70.0,70.0,70.1,1,P1
144,1,20.188,799.38428,0.356,28.19532,2024.85791,1650.27283,0.324,22.67043,3.04,199.60001,209.8,220.0,230.0,239.8,45.0,0.67,70.0,70.0,70.0,70.1,1,P1
144,2,20.188,799.38428,0.356,28.19532,2024.85791,1650.27283,0.324,22.67043,3.04,199.60001,209.8,220.0,230.0,239.8,45.0,0.67,70.0,70.0,70.0,70.1,1,P2
277,1,20.188,799.01538,0.352,28.2361,2015.82361,1649.78711,0.326,22.65514,3.05,200.0,210.10001,220.10001,229.8,239.8,42.9,0.672,70.0,70.0,70.0,70.1,1,P1
24,1,20.188,800.30652,0.358,28.2361,2025.53784,1643.86133,0.324,22.63475,3.07,200.0,209.8,220.0,230.0,239.8,41.7,0.668,70.0,70.0,70.0,70.0,1,P1
