shot,shot_position,Cycle time,Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,tempSetValue,tempActualValue,tempMainLine,tempReturnLine,Product weight g
62,1,20.18800,800.12207,0.35600,28.24119,2027.38367,1643.86133,0.32600,22.65514,3.05000,199.80000,210.00000,220.00000,230.00000,240.00000,45.50000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3536
63,1,20.18800,800.12207,0.41800,28.21571,2037.58374,1649.00989,0.32600,22.64494,3.04000,199.80000,210.10001,220.00000,230.00000,240.00000,45.50000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3558
64,1,20.19000,800.12207,0.40200,28.20042,2036.22363,1645.31848,0.32600,22.67552,3.05400,199.80000,209.80000,220.00000,230.00000,239.80000,45.50000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3532
65,1,20.19000,800.12207,0.35600,28.20552,2035.05798,1645.80420,0.32600,22.65514,3.06000,199.80000,210.00000,220.00000,230.00000,239.80000,45.50000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3516
66,1,20.19000,800.12207,0.35600,28.25139,2040.59509,1647.45557,0.32600,22.67043,3.05200,199.80000,210.10001,220.00000,230.00000,239.80000,45.50000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3537
67,1,20.18800,799.93762,0.35000,28.22081,2002.61206,1648.32996,0.32600,22.65004,3.05000,199.80000,209.80000,220.00000,230.00000,239.80000,45.70000,0.66600,70.00000,70.00000,70.00000,70.10000,17.3560
68,1,20.18800,799.93762,0.41000,28.23610,2038.74939,1644.92993,0.32400,22.64494,3.05000,199.80000,210.10001,220.10001,230.00000,239.80000,45.70000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3522
69,1,20.18800,800.12207,0.35800,28.19532,2029.22937,1648.32996,0.32800,22.65004,3.06400,199.80000,210.00000,220.00000,230.00000,239.80000,45.70000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3525
70,1,20.18800,800.12207,0.35600,28.21571,2025.53784,1648.52417,0.32400,22.65514,3.04800,199.80000,209.80000,219.80000,230.00000,239.80000,45.90000,0.66600,70.00000,70.00000,70.00000,70.10000,17.3550
71,1,20.18800,800.12207,0.35600,28.22081,2033.01794,1644.44421,0.32400,22.66533,3.05800,199.80000,210.10001,220.00000,230.00000,239.80000,45.90000,0.67600,70.00000,70.00000,70.00000,70.10000,17.3544
72,1,20.18800,799.93762,0.35800,28.20042,2025.53784,1646.58130,0.32600,22.68062,3.06600,199.80000,210.00000,220.00000,229.80000,239.80000,46.00000,0.66600,70.00000,70.00000,70.00000,70.10000,17.3518
73,1,20.18800,799.93762,0.35800,28.22590,2019.61218,1644.63843,0.32800,22.67043,3.06800,199.80000,209.80000,219.80000,230.00000,239.80000,46.00000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3538
74,1,20.18800,800.12207,0.35200,28.20552,2011.35498,1643.37561,0.32400,22.66023,3.05600,200.00000,210.00000,220.00000,230.00000,239.80000,46.00000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3506
75,1,20.18800,799.93762,0.35400,28.24119,2000.08630,1643.37561,0.32400,22.65004,3.06000,200.00000,210.10001,220.00000,230.00000,239.80000,46.20000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3554
76,1,20.18800,799.93762,0.35000,28.21571,2018.93213,1649.10706,0.32800,22.66023,3.06800,200.10001,209.80000,219.80000,230.00000,239.80000,46.20000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3543
77,1,20.18800,799.93762,0.35600,28.24119,2027.28650,1646.87280,0.32400,22.68062,3.06600,200.10001,210.00000,220.00000,230.00000,239.80000,46.20000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3538
78,1,20.18800,800.12207,0.35200,28.22590,2024.85791,1649.39844,0.32400,22.68572,3.04800,200.10001,210.10001,220.00000,230.00000,240.00000,46.20000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3510
79,1,20.18800,799.93762,0.35600,28.20042,2028.25793,1648.13562,0.32800,22.69081,3.06800,200.10001,209.80000,220.00000,230.00000,240.00000,46.20000,0.66600,70.00000,70.00000,70.00000,70.10000,17.3562
80,1,20.18800,799.93762,0.35800,28.22590,2033.50366,1644.73560,0.32400,22.67043,3.06200,200.10001,210.00000,220.00000,230.00000,239.80000,46.40000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3504
81,1,20.18800,799.93762,0.41800,28.22590,2031.94934,1647.16418,0.32600,22.67043,3.06400,200.10001,210.10001,220.10001,230.00000,239.80000,46.20000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3513
82,1,20.18800,800.12207,0.35400,28.21061,2005.23486,1642.30701,0.32400,22.66533,3.06000,200.10001,210.00000,220.00000,230.00000,239.80000,46.40000,0.66600,70.00000,70.00000,70.00000,70.10000,17.3563
83,1,20.18800,799.93762,0.42000,28.24629,2035.34937,1650.17566,0.32600,22.68062,3.05200,200.30000,210.00000,220.10001,230.00000,239.80000,46.40000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3534
84,1,20.18800,799.93762,0.47200,28.23610,2023.10925,1644.92993,0.32400,22.63984,3.06600,200.10001,210.10001,220.10001,230.00000,239.80000,46.40000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3544
85,1,20.18800,800.12207,0.41200,28.24119,2026.41223,1645.02698,0.32600,22.66533,3.06000,200.10001,210.00000,220.10001,230.00000,239.80000,46.20000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3528
86,1,20.18800,800.12207,0.40200,28.24629,2023.78931,1646.67847,0.32400,22.66533,3.05600,200.30000,210.00000,220.00000,230.00000,239.80000,46.20000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3513
87,1,20.18800,800.12207,0.35600,28.20042,2002.32056,1652.89563,0.32600,22.65514,3.06200,200.10001,210.10001,220.10001,230.00000,239.80000,45.50000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3538
88,1,20.19000,800.12207,0.35600,28.24629,2025.92651,1647.06702,0.32600,22.67043,3.05400,200.10001,210.00000,220.10001,230.00000,239.80000,44.50000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3541
89,1,20.18800,799.93762,0.42000,28.24119,1995.90918,1654.54712,0.32600,22.67043,3.06000,200.30000,210.00000,220.10001,230.00000,239.80000,43.70000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3566
90,1,20.18800,799.75317,0.35000,28.20552,1979.97766,1646.38708,0.32800,22.65004,3.05200,200.10001,210.10001,220.00000,230.00000,239.80000,43.20000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3566
91,1,20.18800,800.12207,1.53800,28.21571,1979.58899,1660.18140,0.32600,22.68062,3.05000,200.10001,210.00000,220.00000,230.00000,239.80000,43.00000,0.66600,70.00000,70.00000,70.00000,70.10000,17.3582
92,1,20.18800,799.75317,0.35200,28.21061,1946.17175,1654.64429,0.32600,22.66023,3.05800,200.10001,210.10001,220.10001,230.00000,240.00000,43.00000,0.66600,70.00000,70.00000,70.00000,70.10000,17.3571
93,1,20.18800,799.93762,0.35600,28.21571,1972.40039,1656.29565,0.32600,22.65514,3.04800,200.10001,210.10001,220.10001,230.00000,240.00000,43.00000,0.66600,70.00000,70.00000,70.00000,70.10000,17.3574
94,1,20.18800,799.75317,0.35400,28.20552,1966.57178,1656.39282,0.32400,22.65004,3.04000,200.10001,210.00000,220.10001,230.00000,239.80000,42.90000,0.66600,70.00000,70.00000,70.00000,70.10000,17.3569
95,1,20.18800,799.75317,0.41400,28.21571,1986.38904,1650.85559,0.32400,22.65514,3.05000,200.00000,210.10001,220.10001,230.00000,239.80000,43.00000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3577
96,1,20.18800,799.75317,0.35200,28.24629,1964.72607,1657.46143,0.32400,22.68572,3.04000,200.00000,210.00000,220.10001,230.00000,239.80000,43.20000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3588
97,1,20.18800,799.93762,0.35600,28.21571,1952.77747,1653.96423,0.32600,22.68572,3.05400,200.10001,210.10001,220.10001,230.00000,239.80000,43.40000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3553
98,1,20.18800,799.56873,0.35800,28.24629,2037.09802,1647.45557,0.32400,22.65514,3.04600,200.10001,210.10001,220.10001,230.00000,239.80000,43.50000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3513
99,1,20.19000,799.93762,0.40400,28.22081,2034.47510,1653.38135,0.32800,22.66023,3.05400,200.00000,209.80000,220.10001,230.00000,239.80000,43.70000,0.67200,70.00000,70.00000,70.00000,70.10000,17.3556
100,1,20.18800,799.75317,0.35800,28.25139,2024.17786,1649.00989,0.32800,22.66533,3.05600,200.00000,210.10001,220.10001,230.00000,239.80000,43.70000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3540
101,1,20.18800,799.56873,0.34400,28.23100,2020.48645,1650.56421,0.32600,22.66023,3.05200,200.00000,210.10001,220.10001,230.00000,239.80000,44.00000,0.67200,70.00000,70.00000,70.00000,70.10000,17.3538
102,1,20.18800,799.75317,0.35000,28.25139,1978.52051,1653.18713,0.32600,22.66023,3.05400,200.00000,210.00000,220.10001,230.00000,240.00000,44.00000,0.67200,70.00000,70.00000,70.00000,70.10000,17.3571
103,1,20.18800,800.12207,0.35400,28.21061,1981.24048,1657.16992,0.32600,22.66023,3.05200,200.00000,210.10001,220.10001,230.00000,240.00000,44.20000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3549
104,1,20.18800,799.75317,0.35200,28.25139,1959.96606,1651.14709,0.32400,22.63984,3.06200,200.00000,210.10001,220.00000,230.00000,239.80000,44.20000,0.67200,70.00000,70.00000,70.00000,70.10000,17.3567
105,1,20.18800,799.93762,0.41800,28.21061,2036.22363,1643.66699,0.32600,22.63475,3.05400,200.00000,210.00000,220.00000,230.00000,239.80000,44.40000,0.67200,70.00000,70.00000,70.00000,70.10000,17.3528
106,1,20.18800,799.75317,0.47400,28.24119,2038.45801,1643.86133,0.32600,22.65514,3.05600,200.00000,210.10001,220.10001,230.00000,239.80000,44.50000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3518
107,1,20.18800,799.56873,0.35800,28.21571,2026.70361,1649.98132,0.32600,22.65004,3.05000,200.00000,210.00000,220.10001,230.00000,239.80000,44.50000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3574
108,1,20.18800,799.75317,0.35400,28.21061,2019.02930,1645.12415,0.32400,22.67552,3.05400,200.00000,210.00000,220.10001,230.00000,239.80000,44.50000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3559
109,1,20.18800,799.75317,0.40800,28.21571,2016.89209,1649.20422,0.32400,22.63984,3.05800,200.00000,210.10001,220.10001,230.00000,239.80000,44.90000,0.66600,70.00000,70.00000,70.00000,70.10000,17.3561
110,1,20.18800,799.38428,0.35400,28.21571,2021.36072,1647.84424,0.32400,22.67043,3.06000,200.00000,210.00000,220.10001,230.00000,239.80000,44.90000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3559
111,1,20.18800,799.75317,0.35200,28.23610,2032.62939,1647.64990,0.32400,22.66533,3.05200,200.10001,210.00000,220.10001,230.00000,239.80000,45.00000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3575
112,1,20.18800,799.56873,0.35600,28.25139,1998.14343,1644.44421,0.32800,22.63984,3.05800,200.10001,210.10001,220.10001,230.00000,239.80000,45.20000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3549
113,1,20.18800,799.75317,0.41200,28.20552,2021.16638,1650.27283,0.32400,22.66533,3.05600,200.10001,210.10001,220.10001,230.00000,239.80000,45.20000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3583
114,1,20.18800,799.75317,0.35600,28.22806,2029.08362,1647.01849,0.32500,22.65514,3.06600,200.10001,210.10001,220.10001,230.00000,239.80000,45.20000,0.67000,70.00000,70.00000,70.00000,70.10000,17.3550
115,1,20.19000,799.75317,0.35400,28.19532,2037.00085,1643.76416,0.32600,22.64494,3.07600,200.10001,210.00000,220.10001,230.00000,239.80000,45.40000,0.66400,70.00000,70.00000,70.00000,70.10000,17.3563
116,1,20.18800,799.56873,0.40400,28.19532,2016.60071,1647.94128,0.32400,22.66533,3.05400,200.10001,210.10001,220.10001,230.00000,239.80000,45.50000,0.66600,70.00000,70.00000,70.00000,70.10000,17.3579
117,1,20.18800,799.56873,0.40600,28.23610,2027.67505,1644.05554,0.32400,22.65004,3.04400,200.10001,210.00000,220.10001,230.00000,239.80000,45.70000,0.66800,70.00000,70.00000,70.00000,70.10000,17.3535
118,1,20.18800,799.56873,0.35600,28.21061,2037.29224,1648.13562,0.32400,22.67552,3.06200,200.10001,210.00000,220.10001,230.00000,239.80000,45.70000,0.67200,70.00000,70.00000,70.00000,70.10000,17.3552
119,1,20.18800,799.56873,0.35400,28.21571,2022.52649,1649.20422,0.32800,22.65004,3.04800,200.10001,210.10001,220.10001,230.00000,239.80000,45.70000,0.67200,70.00000,70.00000,70.00000,70.10000,17.3562
