shot,Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,Product weight g
204,799.38428,0.84400,28.24119,699.72418,699.72418,0.36000,20.07107,1.99600,189.80000,194.80000,199.80000,205.00000,210.00000,40.90000,0.66400,14.2282
205,799.38428,1.19000,28.24119,692.14703,692.14703,0.36000,20.10165,1.96000,189.80000,194.60001,199.60001,205.00000,209.80000,40.90000,0.66600,14.226
206,799.38428,0.98200,28.24119,702.24994,702.24994,0.36000,20.08127,1.96600,189.80000,194.60001,199.80000,205.00000,209.80000,41.00000,0.66400,14.2272
207,799.56873,0.89800,28.24119,697.68420,697.68420,0.36000,20.09146,1.97200,190.00000,194.60001,199.80000,205.00000,210.00000,41.00000,0.66000,14.2244
208,799.19983,1.04200,28.24119,707.98138,707.98138,0.36000,20.05578,1.99400,190.10001,194.80000,199.80000,205.00000,209.80000,41.00000,0.66200,14.2247
209,799.38428,1.07200,28.24119,702.05566,702.05566,0.36000,20.03540,1.98800,190.10001,195.00000,200.00000,205.00000,210.00000,41.20000,0.66400,14.2374
210,799.19983,0.81000,28.24119,706.42712,706.42712,0.36000,20.04559,1.99000,190.00000,194.60001,200.00000,205.00000,209.80000,41.20000,0.66800,14.229
211,799.56873,0.96400,28.24119,700.69562,700.69562,0.36000,20.07107,1.99000,190.00000,194.80000,200.00000,205.00000,209.80000,41.20000,0.66400,14.2226
212,799.19983,1.07800,28.24119,708.66138,708.66138,0.36000,20.09656,1.97600,190.00000,195.10001,200.10001,205.00000,209.80000,41.40000,0.66400,14.2301
213,799.38428,1.18200,28.24119,703.90137,703.90137,0.36000,20.05578,1.97600,189.80000,195.30000,200.10001,205.00000,209.80000,41.50000,0.66200,14.2259
214,799.19983,0.95000,28.24119,709.34143,709.34143,0.36000,20.10675,1.97400,189.80000,195.50000,200.10001,205.00000,209.80000,41.40000,0.66400,14.2284
